t,f1,precision,recall,accuracy,auc,dp_diff_max
0.36,0.7301587301587301,0.6964285714285714,0.76732249786142,0.8642645101852799,0.9321370523846476,0.4219922553944922
0.37,0.7299240090367632,0.7020940339786645,0.7600513259195893,0.86539052103593,0.9321370523846476,0.4146307675990641
0.38,0.7293435493891075,0.706945002007226,0.7532078699743371,0.8662094380182209,0.9321370523846476,0.4093269387241885
0.39,0.730045967404931,0.7136437908496732,0.7472198460222412,0.8677449073600164,0.9321370523846476,0.4004156640244597
0.4,0.7321011259825791,0.727311101730688,0.7369546621043627,0.8709182106663937,0.9321370523846476,0.38298056135107733
0.41,0.7296891747052519,0.731413837559089,0.7279726261762189,0.8709182106663937,0.9321370523846476,0.37612694557190113
0.42,0.72723339822626,0.7356673960612692,0.7189905902480753,0.8709182106663937,0.9321370523846476,0.36876545777647296
0.43,0.7300131061598951,0.7459821428571428,0.7147134302822925,0.8734773262360528,0.9321370523846476,0.3624197140135486
0.44,0.7318792685613571,0.7546569741026806,0.7104362703165098,0.8754222540689938,0.9321370523846476,0.3590531187690489
0.45,0.7309486780715396,0.7605177993527508,0.7035928143712575,0.8760364418057119,0.9321370523846476,0.3514246095377223
0.46,0.7321789970766809,0.7719298245614035,0.6963216424294268,0.8780837342614393,0.9321370523846476,0.3414714199499448
0.47,0.7310313493866424,0.7795542635658915,0.6881950384944396,0.8788002866209438,0.9321370523846476,0.3313978050719905
0.48,0.7295684113865932,0.7874132804757186,0.6796407185628742,0.879414474357662,0.9321370523846476,0.32376929584066394
0.49,0.725167862931234,0.790509843513377,0.669803250641574,0.8784931927525848,0.9321370523846476,0.31447057441486
0.5,0.7237917347653514,0.7969151670951157,0.6629597946963216,0.8789026512437301,0.9321370523846476,0.3094337669758829
0.51,0.7207715831569043,0.8008363826450601,0.6552609067579127,0.8784931927525848,0.9321370523846476,0.30478440626298087
0.52,0.718920198910727,0.8053050397877984,0.649272882805817,0.8784931927525848,0.9321370523846476,0.3005224922761541
0.53,0.7163323782234957,0.8108108108108109,0.6415739948674081,0.8783908281297983,0.9321370523846476,0.2939358979328763
0.54,0.7151456778232603,0.8181818181818182,0.635158254918734,0.8789026512437301,0.9321370523846476,0.2888990904938991
0.55,0.7132799223112406,0.8248175182481752,0.6283147989734816,0.8791073804893029,0.9321370523846476,0.281537602698471
0.56,0.7108935128518972,0.8311390955924441,0.621043627031651,0.8791073804893029,0.9321370523846476,0.27584632709752027
0.57,0.7046016823354775,0.8356807511737089,0.6090675791274593,0.8777766403930801,0.9321370523846476,0.2705424982226447
0.58,0.6984761428928303,0.8396396396396396,0.5979469632164243,0.8764459002968574,0.9321370523846476,0.2620186702489911
0.59,0.6969849246231156,0.8447015834348356,0.5932420872540634,0.8765482649196438,0.9321370523846476,0.25853164971431464
0.6,0.6910197869101978,0.8491271820448878,0.5825491873396065,0.8753198894462074,0.9321370523846476,0.25117016191888647
0.61,0.6856118791602662,0.8539540816326531,0.5727117194183062,0.8742962432183438,0.9321370523846476,0.24729569465813483
0.62,0.680279141897131,0.8595689092096669,0.562874251497006,0.8733749616132664,0.9321370523846476,0.24264633394523286
0.63,0.675365344467641,0.8661311914323963,0.553464499572284,0.8726584092537619,0.9321370523846476,0.23760952650625572
0.64,0.6705263157894736,0.8714090287277702,0.5449101796407185,0.871839492271471,0.9321370523846476,0.23296016579335374
0.65,0.6631215102366392,0.876317638791286,0.5333618477331052,0.8703040229296755,0.9321370523846476,0.22753591162830145
0.66,0.6573426573426573,0.8855072463768116,0.5226689478186484,0.8695874705701709,0.9321370523846476,0.22172421073717397
0.67,0.6523744911804613,0.8923533778767632,0.514114627887083,0.8688709182106664,0.9321370523846476,0.21746229675034714
0.68,0.645320197044335,0.8958966565349544,0.5042771599657827,0.8673354488688709,0.9321370523846476,0.21320038276352035
0.69,0.639448275862069,0.9005439005439005,0.4957228400342173,0.8662094380182209,0.9321370523846476,0.20816357532454322
0.7,0.6313145408875244,0.908433734939759,0.48374679213002564,0.8647763332992118,0.9321370523846476,0.20118953425519023
0.71,0.6236255990978291,0.9148056244830438,0.47305389221556887,0.8633432285802027,0.9321370523846476,0.19382804645976212
0.72,0.6163915765509391,0.9209183673469388,0.4632164242942686,0.8620124884839799,0.9321370523846476,0.18917868574686014
0.73,0.6084198385236448,0.9336283185840708,0.45124037639007697,0.8609888422561163,0.9321370523846476,0.18259209140358235
0.74,0.599011340505961,0.935513169845595,0.4405474764756202,0.8588391851776026,0.9321370523846476,0.17910507086890587
